PMID,Date,PreceedingText,Estimate,Lower,Upper,Ratio,Beta  
12419762,2002 Nov 15,ia at 24-29 weeks' gestation (OR = ,2.3,1.2,4.4,True,False
12419762,2002 Nov 15,"4.4), anemia before delivery (OR = ",3.4,1.8,6.7,True,False
12419762,2002 Nov 15,ot exclusively breastfeeding (OR = ,2.8,1.0,7.7,True,False
20843863,2010 Dec 1,s as participants (relative risk = ,1.88,1.81,1.95,True,False
10752799,2000 Apr 1,s associated with an odds ratio of ,1.07,1.01,1.13,True,False
10752799,2000 Apr 1,onding estimates were odds ratio = ,1.02,1.00,1.05,True,False
10752799,2000 Apr 1, the effect estimate (odds ratio = ,1.01,0.97,1.06,True,False
20051462,2010 Feb 1, a 3-fold increase (hazard ratio = ,3.00,1.03,9.72,True,False
11257067,2001 Mar 15,sity (FNBMD) (relative risk (RR) = ,2.3,1.2,4.5,True,False
11257067,2001 Mar 15,": 1.2, 4.5) in men and FNBMD (RR = ",2.4,1.7,3.5,True,False
11257067,2001 Mar 15,"I: 1.7, 3.5) and height loss (RR = ",1.1,1.0,1.2,True,False
11257067,2001 Mar 15,"1.5, 95% CI: 1.0, 2.3; women: RR = ",1.5,1.2,1.9,True,False
11257067,2001 Mar 15,"1.2, 95% CI: 1.0, 1.3; women: RR = ",1.1,1.0,1.2,True,False
11257067,2001 Mar 15,"dition, dietary calcium (men: RR = ",2.0,1.0,3.6,True,False
11257067,2001 Mar 15,nd a history of falls (women: RR = ,1.9,1.4,2.6,True,False
15870157,2005 May 15,nd ethnicity-adjusted odds ratio = ,0.59,0.40,0.86,True,False
15870157,2005 May 15,nd ethnicity-adjusted odds ratio = ,0.41,0.24,0.70,True,False
30452532,2019 Feb 1,ion Register model: hazard ratio = ,1.46,1.10,1.94,True,False
30452532,2019 Feb 1,ent Register model: hazard ratio = ,1.53,1.18,1.98,True,False
31497848,2019 Nov 1,the matched-cohort (hazard ratio = ,1.02,0.97,1.08,True,False
31497848,2019 Nov 1,the sibling cohort (hazard ratio = ,0.96,0.89,1.03,True,False
27469514,2016 Aug 15,"on, yielding a risk difference of -",1.57,3.08,0.06,False,False
10873130,2000 Jun 1,and middle levels of education had ,4.3,1.5,11.9,False,False
10873130,2000 Jun 1,"onfidence interval: 1.5, 11.9) and ",2.6,1.0,7.1,False,False
24013202,2013 Nov 1,ldren of nondepressed mothers were ,1.57,1.20,2.07,False,False
24013202,2013 Nov 1,"nfidence interval: 1.20, 2.07) and ",1.32,1.01,1.74,False,False
33720294,2021 Aug 1, IHD (adjusted hazard ratio (HR) = ,0.91,0.76,1.09,True,False
33720294,2021 Aug 1,"76, 1.09) or stroke (adjusted HR = ",0.98,0.81,1.19,True,False
33720294,2021 Aug 1,uent binge drinkers (adjusted HR = ,0.67,0.56,0.80,True,False
33720294,2021 Aug 1,uent binge drinkers (adjusted HR = ,0.75,0.67,0.84,True,False
33595066,2021 Aug 1,ile of FI50y versus the lowest was ,4.07,2.64,6.25,False,False
33595066,2021 Aug 1,stimated total effect on FI50y was ,42.0,35.5,48.4,False,False
33595066,2021 Aug 1,ortion mediated by adult SEP being ,0.45,0.35,0.55,False,False
17456477,2007 Jul 1,umption of milk (odds ratio (OR) = ,1.46,1.15,1.84,True,False
17456477,2007 Jul 1,"(CI): 1.15, 1.84) and yogurt (OR = ",1.34,1.07,1.67,True,False
17456477,2007 Jul 1,onsumption of all vegetables (OR = ,0.64,0.51,0.80,True,False
17456477,2007 Jul 1,) and cruciferous vegetables (OR = ,0.68,0.55,0.84,True,False
17456477,2007 Jul 1,ed the risk of kidney cancer (OR = ,1.66,1.24,2.21,True,False
17005624,2006 Dec 15,"d, the odds ratio for NHL risk was ",0.6,0.4,0.9,True,False
17005624,2006 Dec 15,", the corresponding odds ratio was ",0.5,0.3,0.7,True,False
27601048,2016 Sep 15,"usted for covariates, increased by ",35.0,13.9,60.0,False,False
27601048,2016 Sep 15,nding estimate for BC exposure was ,13.9,0.21,29.9,False,False
27601048,2016 Sep 15,s were driven by the first (PM2.5: ,29.0,4.9,58.6,False,False
27601048,2016 Sep 15,".5: 29.0% (95% CI: 4.9, 58.6); BC: ",23.6,4.4,46.4,False,False
27601048,2016 Sep 15,"CI: 4.4, 46.4)) and second (PM2.5: ",39.3,12.3,72.7,False,False
10909947,2000 Jul 15,gly associated with birth weight (-,38.1,164,88.3,False,False
10909947,2000 Jul 15,"164, 88.3) or head circumference (-",1.73,5.91,2.44,False,False
10909947,2000 Jul 15, positive urine test at delivery (-,182,295,69.8,False,False
10909947,2000 Jul 15,"(-182 g (95% CI: -295, -69.8) and -",6.11,9.99,2.24,False,False
23388581,2013 Mar 1,-examination results (odds ratio = ,0.88,0.78,0.99,True,False
23045474,2012 Nov 1, of term low birth weight would be ,2.27,2.16,2.38,False,False
23045474,2012 Nov 1,"rval: 2.16, 2.38) as compared with ",2.02,1.90,2.12,False,False
15746472,2005 Mar 15,abetic women (relative risk (RR) = ,1.8,1.2,2.7,True,False
15746472,2005 Mar 15,nd 3.0 for nondiabetic women (RR = ,2.3,1.3,3.9,True,False
15746472,2005 Mar 15,inly in women taking insulin (RR = ,3.7,1.8,7.3,True,False
15746472,2005 Mar 15,tes duration (> or =10 years; RR = ,2.6,1.3,5.1,True,False
17670910,2007 Oct 1,"e, were higher for accelerometers (",0.81,0.76,0.85,False,False
17670910,2007 Oct 1,ed with the physical activity log (,0.57,0.47,0.66,False,False
17670910,2007 Oct 1,6) and questionnaire measurements (,0.26,0.12,0.40,False,False
17670910,2007 Oct 1,tion factor for questionnaires was ,0.13,0.05,0.23,False,False
17098820,2007 Feb 1,"ion, and stage 2 hypertension were ",0.91,0.83,1.00,False,False
17098820,2007 Feb 1,"idence interval (CI): 0.83, 1.00), ",1.06,0.96,1.16,False,False
17098820,2007 Feb 1,"0), 1.06 (95% CI: 0.96, 1.16), and ",1.44,1.28,1.62,False,False
17785712,2007 Dec 1,traceptive failure (hazard ratio = ,1.59,0.94,2.68,True,False
23013621,2012 Oct 15,circumference (hazard ratio (HR) = ,0.86,0.69,1.07,True,False
23013621,2012 Oct 15,"07), systolic blood pressure (HR = ",0.96,0.84,1.10,True,False
23013621,2012 Oct 15,"0), diastolic blood pressure (HR = ",0.96,0.87,1.06,True,False
23013621,2012 Oct 15,", 1.06), and HDL cholesterol (HR = ",0.91,0.81,1.01,True,False
23535900,2013 May 15," Making Test, part A: odds ratio = ",3.03,1.39,6.62,True,False
17660454,2007 Sep 15,isk of breast cancer (odds ratio = ,0.76,0.66,0.88,True,False
17660454,2007 Sep 15,different for ER+PR+ (odds ratio = ,0.71,0.60,0.84,True,False
17660454,2007 Sep 15,) and ER-PR- cancers (odds ratio = ,0.80,0.62,1.03,True,False
14607798,2003 Nov 15,age (adjusted hazard ratio (aHR) = ,2.0,1.3,3.1,True,False
17237136,2007 Apr 1,k (per kg/month: odds ratio (OR) = ,0.82,0.69,0.97,True,False
17237136,2007 Apr 1,e. Meat intake (per kg/month: OR = ,1.40,1.17,1.67,True,False
17237136,2007 Apr 1,it consumption (per kg/month: OR = ,0.78,0.67,0.92,True,False
23035019,2012 Nov 1, men who ever worked at night were ,1.76,1.25,2.47,False,False
23035019,2012 Nov 1,"(CI): 1.25, 2.47) for lung cancer, ",2.03,1.43,2.89,False,False
23035019,2012 Nov 1," CI: 1.43, 2.89) for colon cancer, ",1.74,1.22,2.49,False,False
23035019,2012 Nov 1,"I: 1.22, 2.49) for bladder cancer, ",2.77,1.96,3.92,False,False
23035019,2012 Nov 1,": 1.96, 3.92) for prostate cancer, ",2.09,1.40,3.14,False,False
23035019,2012 Nov 1,"CI: 1.40, 3.14) for rectal cancer, ",2.27,1.24,4.15,False,False
23035019,2012 Nov 1,", 4.15) for pancreatic cancer, and ",2.31,1.48,3.61,False,False
23035019,2012 Nov 1, of the stomach (odds ratio (OR) = ,1.34,0.85,2.10,True,False
23035019,2012 Nov 1," 95% CI: 0.85, 2.10), kidney (OR = ",1.42,0.86,2.35,True,False
23035019,2012 Nov 1,": 0.86, 2.35), and esophagus (OR = ",1.51,0.80,2.84,True,False
23035019,2012 Nov 1,"0.80, 2.84) and for melanoma (OR = ",1.04,0.49,2.22,True,False
17716981,2007 Dec 1,of plasma 25-hydroxyvitamin D were ,1.15,0.82,1.61,False,False
17716981,2007 Dec 1,"nfidence interval: 0.82, 1.61) and ",0.95,0.80,1.13,False,False
12578805,2003 Feb 15,y use of supplemental copper (RR = ,0.54,0.28,1.03,True,False
12578805,2003 Feb 15,"I: 0.28, 1.03) and manganese (RR = ",0.50,0.23,1.07,True,False
27489089,2016 Aug 15,ed a reduction in the disparity to ,2.45,2.20,2.71,False,False
10909953,2000 Jul 15,ression in 1995 (odds ratio (OR) = ,1.73,1.04,2.87,True,False
10909953,2000 Jul 15,nalyses were not significant (OR = ,1.43,0.85,2.43,True,False
31172197,2019 Dec 31,ic insecurity in 2000 and 2010 had ,41,1.36,1.47,False,False
11052551,2000 Oct 15,centile or more (odds ratio (OR) = ,2.66,1.80,3.94,True,False
11052551,2000 Oct 15,I of 90th percentile or more (OR = ,2.34,1.46,3.76,True,False
11052551,2000 Oct 15,"6), no sports outside school (OR = ",1.90,1.18,3.06,True,False
11052551,2000 Oct 15,playing video games everyday (OR = ,2.48,1.04,5.92,True,False
11052551,2000 Oct 15,I of 90th percentile or more (OR = ,3.26,1.52,7.01,True,False
11052551,2000 Oct 15,"1), no sports outside school (OR = ",2.14,0.96,4.77,True,False
11052551,2000 Oct 15,".96, 4.77), and least active (OR = ",2.18,1.01,4.71,True,False
11052551,2000 Oct 15,I of 90th percentile or more (OR = ,2.22,1.02,4.81,True,False
29767678,2018 Oct 1,"ange in 12-month LAZ per episode, -",0.01,0.06,0.03,False,False
29767678,2018 Oct 1,"nth LAZ per attributable episode, -",0.23,0.50,0.03,False,False
29767678,2018 Oct 1,pylobacter jejuni/coli (change of -,0.16,0.32,0.01,False,False
29767678,2018 Oct 1,herichia coli diarrhea (change of -,0.12,0.26,0.03,False,False
22038105,2011 Dec 15,idepressants alone (hazard ratio = ,1.38,1.09,1.75,True,False
22038105,2011 Dec 15,n with anxiolytics (hazard ratio = ,1.74,1.13,2.70,True,False
21367875,2011 Apr 1,ported no use (hazard ratio (HR) = ,0.92,0.81,1.04,True,False
21367875,2011 Apr 1,on was limited to nonsmokers (HR = ,0.58,0.41,0.83,True,False
21367875,2011 Apr 1, use and bladder cancer risk (HR = ,1.04,0.94,1.15,True,False
29901701,2018 Nov 1,ird-trimester exposure above 60°F (,15.8,5.0,27.6,False,False
15746466,2005 Mar 15, of preterm labor (relative risk = ,7.9,6.4,9.8,True,False
15746466,2005 Mar 15,acental abruption (relative risk = ,6.6,3.9,11.2,True,False
23548753,2013 May 1,s of a psychomotor score less than ,85,0.8,2.9,False,False
23548753,2013 May 1,e odds of a mental score less than ,85,0.9,3.0,False,False
30759177,2019 Jun 1,trongest association (odds ratio = ,1.43,1.04,1.98,True,False
21873602,2011 Oct 15,ios for death from all causes were ,1.07,0.91,1.26,False,False
21873602,2011 Oct 15,"1.26) for overweight participants, ",1.41,1.16,1.73,False,False
21873602,2011 Oct 15," 1.73) for obese participants, and ",2.46,1.91,3.16,False,False
12835289,2003 Jul 1,serotonin reuptake inhibitors were ,4.76,3.06,7.41,False,False
12835289,2003 Jul 1,"nce interval (CI): 3.06, 7.41) and ",6.30,2.65,14.97,False,False
12835289,2003 Jul 1,e equivalent incidence ratios were ,2.30,1.82,2.90,True,False
12835289,2003 Jul 1,"were 2.30 (95% CI: 1.82, 2.90) and ",1.96,1.35,2.83,False,False
23639938,2013 Jun 1,who adhered to a Western diet were ,1.2,1.03,1.35,False,False
16840520,2006 Sep 15,th intermediate (odds ratio (OR) = ,1.73,1.06,2.84,True,False
16840520,2006 Sep 15,"l (CI): 1.06, 2.84) and high (OR = ",2.06,1.28,3.32,True,False
16840520,2006 Sep 15,to mothers from intermediate (OR = ,4.38,2.20,8.77,True,False
16840520,2006 Sep 15,"95% CI: 2.20, 8.77) and high (OR = ",3.98,1.93,8.21,True,False
11157415,2001 Feb 1,covariate-adjusted relative risk = ,0.97,0.78,1.20,True,False
11157415,2001 Feb 1,covariate-adjusted relative risk = ,1.12,0.92,1.37,True,False
11157415,2001 Feb 1,ed odds ratio of breast cancer was ,1.11,0.88,1.39,True,False
16787994,2006 Aug 15,with the highest education group = ,3.3,2.2,4.7,False,False
16787994,2006 Aug 15,"rtension, exercise; hazard ratio = ",1.9,1.3,2.8,True,False
20392864,2010 May 1,hites (multivariable odds ratios = ,0.88,0.63,1.22,True,False
20392864,2010 May 1,"idence interval (CI): 0.63, 1.22), ",0.69,0.49,0.98,False,False
20392864,2010 May 1,"2), 0.69 (95% CI: 0.49, 0.98), and ",0.49,0.34,0.71,False,False
11495859,2001 Aug 15,ll age-adjusted seroprevalence was ,22.5,21.1,23.9,False,False
11495859,2001 Aug 15,"ed 15-44 years, seroprevalence was ",15.0,13.2,17.0,False,False
20042434,2010 Feb 1," never smokers, hazard ratios were ",1.29,0.95,1.75,True,False
20042434,2010 Feb 1," confidence interval: 0.95, 1.75), ",1.79,1.32,2.42,False,False
20042434,2010 Feb 1," confidence interval: 1.32, 2.42), ",2.42,1.63,3.57,False,False
36460625,2023 Apr 6,"d as weight (kg)/height (m)2, OR = ",0.48,0.26,0.88,True,False
36460625,2023 Apr 6, (tertile 3) of serum leptin (OR = ,0.50,0.32,0.80,True,False
36460625,2023 Apr 6,0) and skinfold measurements (OR = ,0.50,0.32,0.79,True,False
36460625,2023 Apr 6,"and for skinfolds tertile 3, RD = -",11,19,3.3,False,False
20228139,2010 Apr 1,ds ratios for atopy/allergies were ,1.42,0.60,3.35,True,False
20228139,2010 Apr 1,"for 3 studies of leukemia overall, ",0.69,0.54,0.89,False,False
20228139,2010 Apr 1,"4, 0.89) for 6 studies of ALL, and ",0.87,0.62,1.22,False,False
20228139,2010 Apr 1, ALL and asthma (odds ratio (OR) = ,0.79,0.61,1.02,True,False
20228139,2010 Apr 1," 95% CI: 0.61, 1.02), eczema (OR = ",0.74,0.58,0.96,True,False
20228139,2010 Apr 1,": 0.58, 0.96), and hay fever (OR = ",0.55,0.46,0.66,True,False
16641308,2006 Jul 1,ustment for male sex (rate ratio = ,2.62,1.19,5.78,True,False
28498895,2017 Oct 1,", 2.71; for infected wounds, IRR = ",3.04,1.54,5.98,True,False
28498895,2017 Oct 1,", 5.51; for infected wounds, IRR = ",4.96,2.18,11.29,True,False
26409238,2015 Nov 1,"men, the adjusted odds ratios were ",2.25,1.23,4.17,True,False
26409238,2015 Nov 1,"): 1.23, 4.17) for neonatal death, ",2.44,1.76,3.37,False,False
26409238,2015 Nov 1,"6, 3.37) for respiratory distress, ",2.20,1.26,3.84,False,False
26409238,2015 Nov 1,"matic intracranial hemorrhage, and ",2.17,1.60,2.96,False,False
26568572,2015 Dec 1,viewing time versus the lowest was ,1.33,1.20,1.47,False,False
19643809,2009 Sep 1,mpared with controls (odds ratio = ,0.65,0.47,0.92,True,False
19299403,2009 May 1, in never smokers (relative risk = ,1.35,0.79,2.30,True,False
19299403,2009 May 1,o before baseline (relative risk = ,1.41,1.01,2.00,True,False
26292691,2015 Sep 15,f 25-29.9 (prevalence ratio (PR) = ,1.37,1.06,1.76,True,False
26292691,2015 Sep 15,"l (CI): 1.06, 1.76), 30-34.9 (PR = ",1.52,1.17,1.98,False,False
26292691,2015 Sep 15," 95% CI: 1.17, 1.98), or ≥35 (PR = ",1.49,1.13,1.96,False,False
26292691,2015 Sep 15,nmates with a BMI of 30-34.9 (PR = ,1.27,1.01,1.61,False,False
19179358,2009 Apr 1,ude of association (hazard ratio = ,1.29,0.78,2.13,True,False
28453608,2017 Jul 1,hma was observed (odds ratios were ,0.90,0.79,1.03,True,False
28453608,2017 Jul 1,"idence interval (CI): 0.79, 1.03), ",1.29,1.17,1.42,False,False
28453608,2017 Jul 1,"3), 1.29 (95% CI: 1.17, 1.42), and ",1.87,1.60,2.18,False,False
16905643,2006 Oct 15,nary symptoms (hazard ratio (HR) = ,0.73,0.64,0.82,True,False
16905643,2006 Oct 15,"0.82), low maximum flow rate (HR = ",0.51,0.43,0.61,True,False
16905643,2006 Oct 15,"), increased prostate volume (HR = ",0.53,0.41,0.68,True,False
16905643,2006 Oct 15,state-specific antigen level (HR = ,0.52,0.40,0.68,True,False
31504124,2019 Nov 1,"I): 0.43, 0.74; for obesity, aHR = ",0.66,0.48,0.92,True,False
31504124,2019 Nov 1,"95% CI: 0.66, 3.03; obesity, aHR = ",1.29,0.48,3.48,True,False
24627573,2013 May 1,rpes simplex virus recurrence) was ,0.62,0.35,1.09,False,False
24627573,2013 May 1,iple imputation (odds ratio (OR) = ,0.60,0.24,1.51,True,False
24627573,2013 May 1,using self-reported outcomes (OR = ,0.90,0.47,1.73,True,False
24627573,2013 May 1,d to the validation subgroup (OR = ,0.57,0.20,1.59,True,False
24627573,2013 May 1,nd direct maximum likelihood (OR = ,0.62,0.26,1.53,True,False
10873132,2000 Jun 1,"34,124); the relative risk equaled ",2.7,2.5,2.8,True,False
10873132,2000 Jun 1,"dence interval (CI): 2.5, 2.8) and ",1.7,1.4,2.0,False,False
10873132,2000 Jun 1,e women; the relative risk equaled ,3.6,3.1,4.1,True,False
10873132,2000 Jun 1,"equaled 3.6 (95% CI: 3.1, 4.1) and ",3.3,2.5,4.4,False,False
10873132,2000 Jun 1,ed with US-born White mothers) was ,2.7,2.1,3.4,False,False
10873132,2000 Jun 1,"rs) was 2.7 (95% CI: 2.1, 3.4) and ",1.2,0.4,3.1,False,False
10873132,2000 Jun 1,ers and Caribbean-born mothers was ,6.7,3.8,12,False,False
10873132,2000 Jun 1,"hers was 6.7 (95% CI: 3.8, 12) and ",4.2,1.0,18,False,False
20406762,2010 May 15,alues. The adjusted odds ratio was ,1.09,0.95,1.25,True,False
20406762,2010 May 15,": 0.95, 1.25) for any neck injury, ",1.28,0.96,1.71,False,False
20406762,2010 May 15,"lance-evacuated neck injuries, and ",1.02,0.79,1.31,False,False
34215871,2021 Dec 1, T2DM risk overall (hazard ratio = ,1.26,0.99,1.61,True,False
24674900,2014 May 1,mpared with continuing smokers was ,0.68,0.46,0.99,False,False
24674900,2014 May 1, had quit 2-7 years previously and ,0.56,0.37,0.85,False,False
27998891,2017 Jan 15," first quartile, odds ratio (OR) = ",2.70,1.55,4.70,True,False
27998891,2017 Jan 15,"5, 4.70) and current smokers (OR = ",1.99,1.15,3.44,True,False
27998891,2017 Jan 15,L-6 and among former smokers (OR = ,2.83,1.18,6.75,True,False
27998891,2017 Jan 15,"8, 6.75) and current smokers (OR = ",1.30,0.69,2.44,True,False
23139250,2012 Dec 1,"or every 15 nmol/L, hazard ratio = ",1.01,0.97,1.05,True,False
11384954,2001 May 15,er (standardized incidence ratio = ,1.9,1.5,2.3,True,False
11384954,2001 May 15,er (standardized incidence ratio = ,1.5,1.1,2.0,True,False
11384954,2001 May 15,er SiC fiber exposure category was ,3.5,2.1,5.6,False,False
11384954,2001 May 15,on analysis showed a rate ratio of ,4.4,2.1,9.0,True,False
18310621,2008 May 1,derate drinking (odds ratio (OR) = ,1.28,1.05,1.55,True,False
18310621,2008 May 1, with more moderate drinking (OR = ,1.20,1.03,1.39,True,False
18310621,2008 May 1,"03, 1.39) and binge drinking (OR = ",1.92,1.44,2.56,True,False
18310621,2008 May 1,individual drunkenness norms (OR = ,1.58,1.20,2.08,True,False
20035010,2010 Mar 1, odds of retinopathy (odds ratio = ,1.6,1.3,2.0,True,False
20035010,2010 Mar 1," 95% CI: 1.1, 1.9 and odds ratio = ",1.5,1.2,1.9,True,False
18579539,2008 Aug 15, with increased risk (odds ratio = ,1.38,1.07,1.79,True,False
18579539,2008 Aug 15,rth weight being associated with a ,19,4,36,False,False
18579539,2008 Aug 15, with increased risk (odds ratio = ,1.27,1.02,1.60,True,False
18756015,2008 Oct 15,r-negative (ER-/PR-) (odds ratio = ,0.74,0.53,1.04,True,False
18756015,2008 Oct 15, and mixed (ER+/PR-) (odds ratio = ,0.79,0.51,1.22,True,False
18222934,2008 Mar 15, for dementia (hazard ratio (HR) = ,0.6,0.4,0.8,True,False
18222934,2008 Mar 15,women who consumed wine only (HR = ,0.3,0.1,0.8,True,False
18222934,2008 Mar 15,y increased risk of dementia (HR = ,1.5,1.0,2.2,True,False
11790672,2002 Jan 15, previous child (odds ratio (OR) = ,4.0,2.64,6.11,True,False
11790672,2002 Jan 15,in the same week as mastitis (OR = ,3.4,2.04,5.51,True,False
11790672,2002 Jan 15, 3-week interval as mastitis (OR = ,3.4,1.37,8.54,True,False
11790672,2002 Jan 15,) using a manual breast pump (OR = ,3.3,1.92,5.62,True,False
11790672,2002 Jan 15,"I: 0.41, 1.01; < or =6 times: OR = ",0.4,0.19,0.82,True,False
28535166,2017 Oct 15,ASCVD and AFib (hazard ratios were ,0.72,0.56,0.92,True,False
28535166,2017 Oct 15,"nfidence interval: 0.56, 0.92) and ",1.38,1.07,1.79,False,False
18385206,2008 May 15,(2)) was associated with an IRR of ,1.29,1.06,1.55,True,False
18385206,2008 May 15,uria was associated with an IRR of ,1.06,1.04,1.08,True,False
11415946,2001 Jun 15,the highest quartile (odds ratio = ,2.21,1.29,3.79,True,False
11415946,2001 Jun 15,"noids was similar, varying between ",2.08,1.11,3.90,False,False
11415946,2001 Jun 15,"95% CI: 1.11, 3.90) for lutein and ",1.68,0.99,2.86,False,False
11415946,2001 Jun 15, quartile of total carotenoids was ,2.31,1.35,3.96,False,False
20133515,2010 Mar 1,ds ratio for the top ACR decile of ,0.65,0.46,0.93,True,False
20133515,2010 Mar 1,red with no strenuous activity was ,0.61,0.37,0.99,False,False
20133515,2010 Mar 1,"d with the lowest quintile, it was ",0.69,0.47,1.02,False,False
12048223,2002 Jun 15,ion (standardized incidence rate = ,2.2,1.0,4.1,False,False
29370332,2018 Apr 1,ed with SPB (adjusted odds ratio = ,2.1,1.5,2.9,True,False
37667811,2024 Jan 8, symptoms than Indian mothers (d = ,0.48,0.358,0.599,False,False
37667811,2024 Jan 8,hese positions were reversed (d = -,0.25,0.391,0.103,False,False
37139580,2023 Aug 4,oking) on 20-year dementia risk of ,2.1,0.1,4.2,False,False
37139580,2023 Aug 4, risk had death been prevented of -,2.7,6.1,0.8,False,False
34652416,2022 Jan 1,lth-care system (odds ratio (OR) = ,0.47,0.41,0.54,True,False
34652416,2022 Jan 1,ICU delays (incidence rate ratio = ,1.82,1.52,2.18,True,False
34652416,2022 Jan 1, chances of dying in the ICU (OR = ,0.47,0.34,0.64,True,False
34652416,2022 Jan 1,hanges in the probability of (OR = ,0.65,0.56,0.76,True,False
34652416,2022 Jan 1,d delay to (incidence rate ratio = ,1.16,0.95,1.42,True,False
34652416,2022 Jan 1,sion and increased mortality (OR = ,1.43,1.00,2.07,True,False
18408225,2008 Jun 1,sed risk of NHL (odds ratio (OR) = ,1.3,1.1,1.4,True,False
18408225,2008 Jun 1,s. The increased risks of FL (OR = ,1.4,1.1,1.9,True,False
18408225,2008 Jun 1,"5% CI: 1.1, 1.9) and CLL/SLL (OR = ",1.5,1.1,2.0,True,False
18408225,2008 Jun 1,o users of dark-colored dyes (OR = ,1.5,1.1,2.0,True,False
36124677,2023 Jan 6, with ≥3 vertebral fractures (HR = ,2.43,1.57,3.78,True,False
36124677,2023 Jan 6,≥1 severe vertebral fracture (HR = ,1.65,1.26,2.15,True,False
16421238,2006 Mar 15,yed for DTP4 (relative risk (RR) = ,1.41,1.22,1.62,True,False
16421238,2006 Mar 15,", measles-containing vaccine (RR = ",1.54,1.32,1.78,True,False
16421238,2006 Mar 15,he third dose of hepatitis B (RR = ,1.31,1.03,1.67,True,False
16421238,2006 Mar 15,ikely to be delayed for DTP4 (RR = ,0.68,0.52,0.90,True,False
20688905,2010 Sep 1,of aspirin (>5 years: odds ratio = ,0.76,0.61,0.96,True,False
20688905,2010 Sep 1, of low-dose aspirin (odds ratio = ,0.71,0.56,0.90,True,False
17709328,2007 Nov 15,/m2: multivariate relative risks = ,1.51,0.95,2.40,True,False
17709328,2007 Nov 15," 0.95, 2.40), 1.00 (referent), and ",0.86,0.53,1.41,False,False
17709328,2007 Nov 15,ndex (multivariate relative risk = ,2.60,1.10,6.10,True,False
16120706,2005 Oct 1,k HPV types (adjusted odds ratio = ,2.1,1.0,4.1,True,False
16120706,2005 Oct 1,persistence (adjusted odds ratio = ,2.8,1.6,4.9,True,False
14977646,2004 Mar 1,ncreased the odds of tooth loss by ,10,1.06,1.15,False,False
14977646,2004 Mar 1,the odds of periodontal disease by ,5,1.02,1.08,False,False
14977646,2004 Mar 1,e odds of tooth loss (odds ratio = ,1.28,1.03,1.60,True,False
14977646,2004 Mar 1, periodontal disease (odds ratio = ,0.65,0.48,0.89,True,False
17615088,2007 Oct 1,.8) and a vaccine effectiveness of ,73,52,85,False,False
30496346,2019 Mar 1,ed 10-year risks of mortality were ,13.0,10.9,15.4,False,False
30496346,2019 Mar 1,"nce interval (CI): 10.9, 15.4) and ",11.1,8.7,14.1,False,False
30496346,2019 Mar 1,"gorous activity, respectively, and ",13.9,12.0,16.0,False,False
30496346,2019 Mar 1,"and 13.9% (95% CI: 12.0, 16.0) and ",12.6,10.6,14.7,False,False
20829269,2010 Oct 15,"on increase in BMI, hazard ratio = ",0.93,0.91,0.94,True,False
22814369,2012 Aug 15,ons versus nonbereaved persons was ,1.26,1.22,1.30,False,False
22814369,2012 Aug 15,": 1.22, 1.30), and in women it was ",1.33,1.28,1.39,False,False
28387787,2017 May 1,ivariable-adjusted relative risk = ,1.54,1.07,2.24,True,False
28387787,2017 May 1,not rectal cancer (relative risk = ,1.07,0.68,1.66,True,False
33124647,2021 May 4,th PPI use compared with nonuse of ,1.07,0.94,1.22,False,False
33124647,2021 May 4,ever users found a hazard ratio of ,0.82,0.73,0.91,True,False
33124647,2021 May 4, Cox model found a hazard ratio of ,1.08,0.85,1.38,True,False
12543625,2003 Feb 1,f discussing tamoxifen therapy was ,0.70,0.56,0.88,False,False
12543625,2003 Feb 1,tive primary therapy (odds ratio = ,0.94,0.79,1.13,True,False
12543625,2003 Feb 1,receipt of tamoxifen (odds ratio = ,0.96,0.72,1.27,True,False
20961969,2010 Dec 15,rogen-only HT (hazard ratio (HR) = ,2.52,1.77,3.57,True,False
20961969,2010 Dec 15," (CI): 1.77, 3.57), tibolone (HR = ",2.96,1.67,5.26,True,False
20961969,2010 Dec 15,", estrogen-plus-progestin HT (HR = ",1.41,1.08,1.83,True,False
12522023,2003 Jan 15,in of the vaccine (relative risk = ,0.6,0.18,1.97,True,False
12522023,2003 Jan 15,"hino strain, the relative risk was ",5.5,2.6,11.8,True,False
12522023,2003 Jan 15,after vaccination (relative risk = ,15.6,5.9,41.2,True,False
20338975,2010 Apr 15,.70; > or =10 cigarettes/day: RR = ,1.90,1.57,2.30,True,False
20338975,2010 Apr 15,ociated with strabismus risk (RR = ,1.22,0.92,1.61,True,False
12796045,2003 Jun 15,ancer mortality (relative hazard = ,1.87,1.06,3.31,True,False
12796045,2003 Jun 15,gnosed diabetes (relative hazard = ,1.31,0.48,3.56,True,False
12796045,2003 Jun 15,6) and diabetes (relative hazard = ,1.13,0.49,2.62,True,False
14585761,2003 Nov 1, physical activity (hazard ratio = ,2.58,1.39,4.77,True,False
14585761,2003 Nov 1, physical activity (hazard ratio = ,0.52,0.12,2.19,True,False
16093292,2005 Sep 15,or PCBs > or = 5.00 microg/liter = ,0.65,0.36,1.18,False,False
16093292,2005 Sep 15,o for DDE > or = 60 microg/liter = ,0.65,0.32,1.31,False,False
17406007,2007 Jun 15,"azard ratios were 1.00 (referent), ",0.82,0.72,0.94,True,False
